time,lat,lon,apcp
2022-01-14,37.18275,-121.9598,0.0
2022-01-14,37.18275,-121.9598,0.0
2022-01-14,37.23877,-121.6087,0.0
2022-01-14,37.23877,-121.6087,0.0
2022-01-14,37.29348,-121.2568,0.0
2022-01-14,37.29348,-121.2568,0.0
2022-01-14,37.51871,-121.6785,0.0
2022-01-14,37.51871,-121.6785,0.0
2022-01-14,37.57373,-121.3251,0.0
2022-01-14,37.57373,-121.3251,0.0
2022-01-14,37.79888,-121.749,0.0
2022-01-14,37.79888,-121.749,0.0
2022-01-14,37.85422,-121.394,0.0
2022-01-14,37.85422,-121.394,0.0
2022-01-14,37.90823,-121.0383,0.0
2022-01-14,37.90823,-121.0383,0.0
2022-01-15,37.01344,-121.1892,0.0
2022-01-15,37.01344,-121.1892,0.0
2022-01-15,37.18275,-121.9598,0.0
2022-01-15,37.18275,-121.9598,0.0
2022-01-15,37.23877,-121.6087,0.0
2022-01-15,37.23877,-121.6087,0.0
2022-01-15,37.29348,-121.2568,0.0
2022-01-15,37.29348,-121.2568,0.0
2022-01-15,37.51871,-121.6785,0.0
2022-01-15,37.51871,-121.6785,0.0
2022-01-15,37.57373,-121.3251,0.0
2022-01-15,37.57373,-121.3251,0.0
2022-01-15,37.79888,-121.749,0.0
2022-01-15,37.79888,-121.749,0.0
2022-01-15,37.85422,-121.394,0.0
2022-01-15,37.85422,-121.394,0.0
2022-01-15,37.90823,-121.0383,0.0
2022-01-15,37.90823,-121.0383,0.0
2022-01-16,37.01344,-121.1892,0.046875
2022-01-16,37.01344,-121.1892,0.046875
2022-01-16,37.18275,-121.9598,0.0234375
2022-01-16,37.18275,-121.9598,0.0234375
2022-01-16,37.23877,-121.6087,0.0234375
2022-01-16,37.23877,-121.6087,0.0234375
2022-01-16,37.29348,-121.2568,0.0234375
2022-01-16,37.29348,-121.2568,0.0234375
2022-01-16,37.51871,-121.6785,0.03125
2022-01-16,37.51871,-121.6785,0.03125
2022-01-16,37.57373,-121.3251,0.0234375
2022-01-16,37.57373,-121.3251,0.0234375
2022-01-16,37.79888,-121.749,0.0078125
2022-01-16,37.79888,-121.749,0.0078125
2022-01-16,37.85422,-121.394,0.0
2022-01-16,37.85422,-121.394,0.0
2022-01-16,37.90823,-121.0383,0.0
2022-01-16,37.90823,-121.0383,0.0
2022-01-17,37.01344,-121.1892,0.0
2022-01-17,37.01344,-121.1892,0.0
2022-01-17,37.18275,-121.9598,0.0
2022-01-17,37.18275,-121.9598,0.0
2022-01-17,37.23877,-121.6087,0.0
2022-01-17,37.23877,-121.6087,0.0
2022-01-17,37.29348,-121.2568,0.0
2022-01-17,37.29348,-121.2568,0.0
2022-01-17,37.51871,-121.6785,0.0
2022-01-17,37.51871,-121.6785,0.0
2022-01-17,37.57373,-121.3251,0.0
2022-01-17,37.57373,-121.3251,0.0
2022-01-17,37.79888,-121.749,0.0
2022-01-17,37.79888,-121.749,0.0
2022-01-17,37.85422,-121.394,0.0
2022-01-17,37.85422,-121.394,0.0
2022-01-17,37.90823,-121.0383,0.0
2022-01-17,37.90823,-121.0383,0.0
2022-01-18,37.01344,-121.1892,0.009977143
2022-01-18,37.01344,-121.1892,0.009977143
2022-01-18,37.18275,-121.9598,0.002164643
2022-01-18,37.18275,-121.9598,0.002164643
2022-01-18,37.23877,-121.6087,0.002164643
2022-01-18,37.23877,-121.6087,0.002164643
2022-01-18,37.29348,-121.2568,0.002164643
2022-01-18,37.29348,-121.2568,0.002164643
2022-01-18,37.51871,-121.6785,0.002164643
2022-01-18,37.51871,-121.6785,0.002164643
2022-01-18,37.57373,-121.3251,0.002164643
